author,book_title,genre,pages_amt,price,publish_date,rating_avg,ratings_amt,reviews_amt
Mona Kasten,Save Me,young-adult,416 pages,"Kindle Store
$9.99
",February 23rd 2018,4.18,7840,731
Leia Stone,Fallen Academy: Year Three,young-adult,272 pages,"Kindle Unlimited
",December 4th 2018,4.37,4900,312
Kate Avery Ellison,Red Rider,young-adult,270 pages,"Kindle Unlimited
",February 6th 2019,4.03,1057,107
Derek Landy,Seasons of War,young-adult,592 pages,"Kindle Store
$6.99
",April 13th 2020,4.61,482,60
G.K. DeRosa,Half-Blood,young-adult,263 pages,"Kindle Unlimited
",June 11th 2019,4.15,2362,221
M.L. Collins,The Nerd & the Quarterback,young-adult,230 pages,Amazon,March 11th 2020,4.00,184,19
Rick Riordan,Camp Jupiter Classified: A Probatio's Journal,young-adult,192 pages,Amazon,May 7th 2020,3.94,70,11
Ann Valett,Clique Bait,young-adult,368 pages,Amazon,April 28th 2020,3.75,244,70
Leia Stone,Fallen Academy: Year Four,young-adult,310 pages,"Kindle Unlimited
",April 19th 2019,4.41,3252,268
James Dashner,The Fever Code,young-adult,347 pages,"Kindle Store
$9.99
",September 27th 2016,4.11,29601,3119
Meagan Brandy,Fumbled Hearts,young-adult,,Amazon,,4.24,6816,630
Beth Reekles,Going the Distance,young-adult,448 pages,"Kindle Store
$9.99
",January 2nd 2020,3.97,1184,132
Yesenia Vargas,#TheRealCinderella,young-adult,275 pages,Amazon,April 24th 2018,3.71,2127,259
Bella Forrest,Finch Merlin and the Fount of Youth,young-adult,402 pages,"Kindle Unlimited
",July 22nd 2019,4.43,1612,79
Frost Kay,The Tainted,young-adult,,Amazon,January 15th 2019,4.20,881,126
"Jaymin Eve,Tate James",Broken Wings,young-adult,325 pages,Amazon,March 18th 2019,4.24,11201,817
Audrey Grey,Winter,young-adult,422 pages,Amazon,October 11th 2019,4.21,2927,332
"Jaymin Eve,Tate James",Broken Trust,young-adult,278 pages,"Kindle Unlimited
",May 16th 2019,4.37,6731,538
Tijan,Crew,young-adult,372 pages,Amazon UK,August 26th 2018,3.98,8580,910
Claire Luana,The Confectioner's Guild,young-adult,327 pages,"Kindle Store
$0.00
",October 23rd 2018,4.04,739,260
Kelly Oram,Girl at Heart,young-adult,262 pages,"Kindle Unlimited
",October 30th 2019,4.11,2134,282
Bella Forrest,Harley Merlin and the Mortal Pact,young-adult,404 pages,"Kindle Unlimited
",June 30th 2019,4.39,2629,135
Bella Forrest,Harley Merlin and the Detector Fix,young-adult,404 pages,"Kindle Unlimited
",April 10th 2019,4.30,3452,147
"Kel Carpenter,Meg Anne",Reaper's Blood,young-adult,254 pages,"Kindle Unlimited
",January 13th 2020,4.09,663,148
Frost Kay,The Exiled,young-adult,,Amazon,,4.39,637,83
"Leigh Bardugo,Sara Kipin",The Language of Thorns: Midnight Tales and Dangerous Magic,young-adult,281 pages,"Kindle Store
$10.99
",September 26th 2017,4.41,29933,5836
"Mona Kasten,Toby Axelrod",Begin Again,young-adult,278 pages,Amazon DE,October 10th 2017,4.13,10653,1330
Sara  Holland,Everless,young-adult,362 pages,"Kindle Store
$9.99
",January 2nd 2018,3.85,27488,4858
Jay Kristoff,Darkdawn,young-adult,512 pages,"Kindle Store
$14.99
",September 3rd 2019,4.37,13553,2681
Bella Forrest,Harley Merlin and the Challenge of Chaos,young-adult,408 pages,"Kindle Unlimited
",May 13th 2019,4.28,3058,154
Sandhya Menon,When Dimple Met Rishi,young-adult,380 pages,"Kindle Store
$9.99
",May 30th 2017,3.71,39671,8798
Emily A. Duncan,Wicked Saints,young-adult,385 pages,Amazon,April 2nd 2019,3.70,13576,3820
Ransom Riggs,A Map of Days,young-adult,496 pages,Kobo,October 2nd 2018,4.14,21614,2531
Tricia Levenseller,Daughter of the Pirate King,young-adult,311 pages,"Kindle Store
$7.09
",February 28th 2017,3.98,29938,5134
Colleen Hoover,Finding Perfect,young-adult,,Amazon,2019,4.42,2538,360
Meagan Brandy,Trouble at Brayshaw High,young-adult,284 pages,Amazon,May 28th 2019,4.45,9394,1184
Kasie West,P.S. I Like You,young-adult,330 pages,"Kindle Store
$10.99
",July 26th 2016,4.08,37643,6392
"Giovanna Fletcher,Tom  Fletcher",The Eve Illusion,young-adult,400 pages,Amazon UK,April 16th 2020,4.42,777,122
Bella Forrest,Harley Merlin and the Cult of Eris,young-adult,402 pages,"Kindle Unlimited
",February 23rd 2019,4.30,4181,184
Frost Kay,The Hunt,young-adult,326 pages,"Kindle Unlimited
",January 15th 2020,4.09,1876,297
Catherine Ryan Hyde,Leaving Blythe River,young-adult,322 pages,Amazon,May 24th 2016,4.14,9436,561
James Patterson,Ali Cross,young-adult,320 pages,"Kindle Store
$4.99
",November 25th 2019,3.99,4332,298
Marissa Meyer,Renegades,young-adult,556 pages,Amazon UK,November 7th 2017,4.16,51826,8772
"Laura    Lee,Laura    Lee",Wicked Liars,young-adult,,"Kindle Unlimited
",April 3rd 2020,4.25,404,96
Renée Ahdieh,The Wrath and the Dawn,young-adult,404 pages,Amazon UK,May 12th 2015,4.14,102525,15992
Bella Forrest,Harley Merlin and the First Ritual,young-adult,402 pages,"Kindle Unlimited
",November 30th 2018,4.27,5942,237
Jillian Dodd,That Baby,young-adult,,Amazon,,4.30,4473,430
"Cassandra Clare,Sarah Rees Brennan,Maureen Johnson,Robin Wasserman",Tales from the Shadowhunter Academy,young-adult,655 pages,Kobo,November 15th 2016,4.41,39659,4426
"E.K. Johnston,Andreas Kasprzak",Queen's Shadow,young-adult,400 pages,Amazon,March 5th 2019,3.80,3990,815
Bella Forrest,Harley Merlin and the Broken Spell,young-adult,406 pages,Amazon UK,January 21st 2019,4.30,5378,236
Cassandra Clare,Queen of Air and Darkness,young-adult,912 pages,"Kindle Store
$11.99
",December 4th 2018,4.36,53418,7518
Kerri Maniscalco,Stalking Jack the Ripper,young-adult,337 pages,Amazon,September 20th 2016,4.01,49945,9663
Casey L. Bond,When Wishes Bleed,young-adult,462 pages,Amazon,November 1st 2019,4.07,2099,274
Katherine Arden,The Girl in the Tower,young-adult,363 pages,Amazon,December 5th 2017,4.37,46605,5954
Bella Forrest,Harley Merlin and the Stolen Magicals,young-adult,408 pages,Amazon UK,October 31st 2018,4.25,7073,319
V.E. Schwab,A Conjuring of Light,young-adult,624 pages,Kobo,February 21st 2017,4.36,73655,10713
Tahereh Mafi,Restore Me,young-adult,435 pages,"Kindle Store
$10.99
",March 6th 2018,4.22,32222,6000
Jason Reynolds,Long Way Down,young-adult,306 pages,Amazon IN,October 24th 2017,4.32,46007,9317
"A. Jade,Ashley Jade",Cruel Prince,young-adult,,Amazon,August 20th 2019,4.12,10072,1233
Cassandra Clare,Lady Midnight,young-adult,698 pages,Amazon IN,March 8th 2016,4.42,152007,16848
Rick Riordan,The Hidden Oracle,young-adult,375 pages,Amazon CA,May 3rd 2016,4.26,96107,9866
Victoria Aveyard,King's Cage,young-adult,528 pages,Amazon,February 7th 2017,4.00,111168,10686
"Carrie Seim,Gabriel Vaughan,Bill Quinn,Jessica Almasy,Kevin Pariseau,Dina Pearlman,Khristine Hvam",The Flying Flamingo Sisters,young-adult,,Amazon,December 12th 2019,3.59,140,19
Marissa Meyer,Winter,young-adult,827 pages,Amazon,November 10th 2015,4.46,177224,23424
Sabaa Tahir,An Ember in the Ashes,young-adult,446 pages,Amazon,February 9th 2016,4.29,165124,21441
"Rainbow Rowell,Faith Erin Hicks",Pumpkinheads,young-adult,209 pages,Amazon,August 27th 2019,4.13,30489,6584
Tomi Adeyemi,Children of Blood and Bone,young-adult,544 pages,Amazon UK,March 6th 2018,4.14,125242,21220
V.E. Schwab,A Darker Shade of Magic,young-adult,400 pages,Amazon,February 24th 2015,4.09,176120,24215
Holly  Jackson,"Good Girl, Bad Blood",young-adult,432 pages,Amazon UK,April 30th 2020,4.58,585,129
Rufi Thorpe,The Knockout Queen,young-adult,288 pages,Amazon,April 28th 2020,4.04,508,103
Jennifer Niven,All the Bright Places,young-adult,378 pages,Amazon,January 6th 2015,4.17,265752,30967
"Nicola Yoon,David  Yoon","Everything, Everything",young-adult,306 pages,Amazon,September 1st 2015,4.07,340469,37250
Victoria Aveyard,Red Queen,young-adult,383 pages,"Kindle Store
$10.99
",February 10th 2015,4.06,510847,42296
Kiera Cass,The Crown,young-adult,278 pages,"Kindle Store
$11.99
",May 3rd 2016,3.78,129490,12776
James   Maxwell,A Girl From Nowhere,young-adult,446 pages,"Kindle Unlimited
",May 1st 2020,4.08,1172,96
Leigh Bardugo,Six of Crows,young-adult,465 pages,Kobo,September 29th 2015,4.46,259835,35455
Ilsa Madden-Mills,Dear Ava,young-adult,376 pages,Amazon,February 1st 2020,4.25,16437,1954
John Green,Turtles All the Way Down,young-adult,286 pages,Amazon,October 10th 2017,3.96,279502,32273
Sarah J. Maas,A Court of Frost and Starlight,young-adult,229 pages,"Kindle Store
$6.64
",May 1st 2018,3.90,111823,13322
"John Tiffany,Jack Thorne,J.K. Rowling",Harry Potter and the Cursed Child: Parts One and Two,young-adult,343 pages,Amazon,July 31st 2016,3.64,648059,63390
Jodi Daynard,A Transcontinental Affair,travel,329 pages,"Kindle Unlimited
",November 1st 2019,3.57,2955,264
Leah Konen,Love and Other Train Wrecks,travel,368 pages,Amazon,January 2nd 2018,3.55,2197,443
Richard Paul Evans,The Forgotten Road,travel,259 pages,"Kindle Store
$11.99
",May 1st 2018,4.04,3912,596
Mari Andrew,"Am I There Yet? The Loop-de-Loop, Zigzagging Journey to Adulthood",travel,192 pages,"Kindle Store
$5.99
",March 27th 2018,4.01,5379,547
Danielle Steel,Magic,travel,336 pages,"Kindle Store
$8.99
",July 5th 2016,3.92,6472,465
Max Monroe,The Day I Stopped Falling for Jerks,travel,329 pages,"Kindle Unlimited
",October 17th 2018,4.22,2645,416
Mark Kenyon,"That Wild Country: An Epic Journey through the Past, Present, and Future of America's Public Lands",travel,300 pages,"Kindle Unlimited
",December 1st 2019,4.19,2135,195
Ross Welford,"The 1,000-year-old Boy",travel,400 pages,Amazon,January 11th 2018,4.26,1792,233
Niki Brantmark,"Lagom: Not Too Little, Not Too Much, Just Right: The Swedish Guide to Creating Balance in Your Life",travel,288 pages,"Kindle Unlimited
",October 3rd 2017,3.56,2323,302
Meik Wiking,The Art of Making Memories: How to Create and Remember Happy Moments,travel,288 pages,Amazon,October 1st 2019,3.90,1262,187
Tommy Caldwell,"The Push: A Climber's Journey of Endurance, Risk, and Going Beyond Limits",travel,341 pages,Amazon,May 16th 2017,4.47,4458,389
Adam Minter,Secondhand: Travels in the New Global Garage Sale,travel,320 pages,"Kindle Store
$11.99
",November 12th 2019,3.97,1236,250
Jojo Moyes,Paris for One,travel,106 pages,Amazon,February 5th 2015,3.58,9497,1078
David  Arnold,Mosquitoland,travel,336 pages,Amazon,March 3rd 2015,3.89,26602,3931
Pauline Turner Brooks,Marriage Vacation,travel,256 pages,"Kindle Store
$11.99
",June 5th 2018,3.43,4073,465
Alexander McCall Smith,My Italian Bulldozer,travel,240 pages,"Kindle Store
$9.99
",April 4th 2017,3.56,7151,1275
"Francoise Malby Anthony,Katja Willemsen",An Elephant in My Kitchen,travel,320 pages,Amazon,November 1st 2018,4.44,1359,190
Michael Palin,Erebus: The Story of a Ship,travel,334 pages,Amazon,September 20th 2018,4.33,3250,425
Rosie Nguyễn,Tuổi Trẻ Đáng Giá Bao Nhiêu,travel,292 pages,Amazon,October 7th 2016,4.33,9060,2601
Richard Paul Evans,The Road Home,travel,336 pages,"Kindle Store
$10.99
",May 7th 2019,4.34,2923,451
Ilja Leonard Pfeijffer,Grand Hotel Europa,travel,552 pages,Amazon,December 13th 2018,4.14,4469,578
James Rebanks,The Shepherd's Life: A People's History of the Lake District,travel,256 pages,"Kindle Store
$9.99
",April 7th 2015,4.11,8533,1235
Amy Liptrot,The Outrun: A Memoir,travel,304 pages,Amazon,April 24th 2018,4.03,5886,738
"Patti Smith,Antti Nylén",Devotion,travel,95 pages,Amazon,September 12th 2017,3.84,6514,595
Renée Watson,Some Places More Than Others,travel,208 pages,"Kindle Store
$8.07
",September 3rd 2019,4.31,1014,262
Auður Ava Ólafsdóttir,Ör,travel,204 pages,Amazon,October 2016,3.81,3787,543
"Alex Honnold,David  Roberts",Alone on the Wall,travel,336 pages,"Kindle Store
$10.99
",October 2nd 2018,3.87,6391,555
"Scott Jurek,Jenny Jurek",North: Finding My Way While Running the Appalachian Trail,travel,292 pages,"Kindle Store
$11.99
",April 10th 2018,4.22,6410,621
Kandi Steiner,On the Way to You,travel,341 pages,Amazon,November 16th 2017,4.27,5510,789
Aspen Matis,Girl in the Woods: A Memoir,travel,384 pages,"Kindle Store
$11.49
",September 8th 2015,3.46,3123,442
Sarah Mlynowski,"I See London, I See France",travel,378 pages,"Kindle Store
$8.99
",July 11th 2017,3.65,5980,1081
John Hodgman,Vacationland: True Stories from Painful Beaches,travel,272 pages,"Kindle Store
$9.99
",May 29th 2018,4.09,12764,1502
Lara Maiklem,Mudlark: In Search of London's Past Along the River Thames,travel,336 pages,Kobo,November 5th 2019,4.22,1105,255
"Jonas Jonasson,Rachel Willson-Broyles",The Accidental Further Adventures of the Hundred-Year-Old Man,travel,448 pages,"Kindle Store
$11.49
",August 7th 2018,3.72,8506,1013
"Emily Barr,Alessandro Peroni",The One Memory of Flora Banks,travel,306 pages,"Kindle Store
$9.99
",January 12th 2017,3.49,11972,2265
Dave Eggers,The Monk of Mokha,travel,353 pages,"Kindle Store
$12.99
",January 30th 2018,4.03,12217,1497
Tom Michell,The Penguin Lessons,travel,229 pages,Amazon,November 5th 2015,4.07,6645,857
Elyssa Friedland,The Floating Feldmans,travel,346 pages,Amazon,July 23rd 2019,3.51,2721,480
Rachel Linden,The Enlightenment of Bees,travel,336 pages,Amazon,July 9th 2019,3.67,1762,378
Lila Monroe,Lovestruck,travel,257 pages,Amazon,April 29th 2017,3.85,4011,318
Sandra Dallas,Westering Women,travel,336 pages,"Kindle Store
$13.99
",January 7th 2020,3.90,1394,409
İlber Ortaylı,Bir Ömür Nasıl Yaşanır?,travel,288 pages,Amazon,February 15th 2019,3.93,3567,316
Patti Smith,Year of the Monkey,travel,171 pages,Amazon,September 24th 2019,3.89,6293,739
Jennifer E. Smith,Field Notes on Love,travel,271 pages,Kobo,March 5th 2019,3.86,8680,1487
Jen Malone,Wanderlost,travel,321 pages,"Kindle Store
$8.99
",May 31st 2016,3.95,5404,929
Rebecca Raisin,The Little Bookshop on the Seine,travel,232 pages,Amazon,October 16th 2015,3.60,3673,664
Meik Wiking,The Little Book of Lykke: The Danish Search for the World's Happiest People,travel,288 pages,"Kindle Store
$10.99
",September 7th 2017,4.02,8857,926
Sarah Kuhn,I Love You So Mochi,travel,308 pages,Amazon,May 28th 2019,3.83,2089,505
"Marc Levy,Sam Taylor",P.S. from Paris,travel,290 pages,"Kindle Unlimited
",September 1st 2017,3.70,25951,1856
Santa Montefiore,The Temptation of Gracie,travel,400 pages,Amazon,July 12th 2018,4.15,3103,335
David Nott,War Doctor: Surgery on the Front Line,travel,355 pages,Amazon,February 21st 2019,4.60,3013,302
"Marty Ross,Robert Louis Stevenson,Catherine Tate,Philip Glenster,Daniel Hays,Owen Teale",Treasure island,travel,6 pages,Amazon,August 17th 2017,3.68,1214,214
Peter Frankopan,The New Silk Roads: The Present and Future of the World,travel,313 pages,"Kindle Store
$4.99
",December 1st 2018,3.68,2642,331
Jedidiah Jenkins,"To Shake the Sleeping Self: A Journey from Oregon to Patagonia, and a Quest for a Life with No Regret",travel,336 pages,"Kindle Store
$12.99
",October 2nd 2018,3.90,7303,790
Frances Mayes,Women in Sunlight,travel,,"Kindle Store
$9.99
",April 3rd 2018,3.62,4760,772
Paolo Cognetti,Le otto montagne,travel,208 pages,Amazon,November 8th 2016,4.06,14785,1599
Martin  Walker,The Body in the Castle Well,travel,384 pages,"Kindle Store
$9.99
",June 4th 2019,4.17,1961,234
Karla Cornejo Villavicencio,The Undocumented Americans,travel,208 pages,"Kindle Store
$13.99
",March 24th 2020,4.46,298,94
Jonathan Franklin,438 Days: An Extraordinary True Story of Survival at Sea,travel,288 pages,"Kindle Store
$12.99
",November 17th 2015,4.28,5465,625
Christina Rickardsson,Sluta aldrig gå - Från gatan i Sao Paulo till Vindeln i Norrland,travel,240 pages,Amazon,October 5th 2016,3.92,7769,552
Abbi Jacobson,"I Might Regret This: Essays, Drawings, Vulnerabilities, and Other Stuff",travel,320 pages,"Kindle Store
$7.99
",October 30th 2018,3.79,11144,1110
Camille Pagán,Woman Last Seen in Her Thirties,travel,254 pages,"Kindle Unlimited
",February 27th 2018,3.77,8705,783
Erling Kagge,Stillhet i støyens tid. Gleden ved å stenge verden ute,travel,144 pages,Amazon,2016,3.78,5176,706
Michael Palin,North Korea Journal,travel,176 pages,"Kindle Store
$12.99
",September 19th 2019,3.94,1182,152
David Szalay,Turbulence,travel,160 pages,"Kindle Store
$12.99
",July 16th 2019,3.66,3382,580
Sarah Morgan,One Summer in Paris,travel,400 pages,"Kindle Store
$9.99
",April 9th 2019,4.05,3011,604
Carrot Quinn,Thru-Hiking Will Break Your Heart: An Adventure on the Pacific Crest Trail,travel,370 pages,"Kindle Unlimited
",April 14th 2015,4.10,3220,355
Eliza Watson,Flying by the Seat of My Knickers,travel,204 pages,"Kindle Store
$0.99
",March 25th 2016,3.66,2286,238
"Nelson DeMille,Scott Brick",The Cuban Affair,travel,,"Kindle Store
$9.99
",September 19th 2017,3.76,25976,2372
Catherine Isaac,You Me Everything,travel,384 pages,Amazon,June 25th 2019,3.89,7383,896
Miranda Kenneally,Four Days of You and Me,travel,352 pages,Amazon FR,May 5th 2020,3.71,263,163
Jenna Evans Welch,Love & Luck,travel,303 pages,Amazon,May 8th 2018,3.78,9718,1626
Mark O'Connell,Notes from an Apocalypse: A Personal Journey to the End of the World and Back,travel,272 pages,Amazon,April 14th 2020,3.87,256,52
"Miquel Reina,Catherine E. Nelson",Lights on the Sea,travel,272 pages,"Kindle Unlimited
",September 25th 2018,3.99,1554,399
Christine Mangan,Tangerine,travel,320 pages,"Kindle Store
$11.99
",March 27th 2018,3.21,22442,3220
Bill Bryson,The Road to Little Dribbling: Adventures of an American in Britain,travel,380 pages,"Kindle Store
$12.99
",January 19th 2016,3.70,26702,4015
James Dean,Pete the Cat's Train Trip,travel,32 pages,"Kindle Unlimited
",June 23rd 2015,3.94,789,72
Roman Dial,The Adventurer's Son,travel,368 pages,Amazon,February 18th 2020,4.01,1686,314
Phaedra Patrick,The Curious Charms of Arthur Pepper,travel,331 pages,Amazon,May 3rd 2016,3.90,35710,5590
Paulo Coelho,Hippie,travel,,Amazon,September 25th 2018,3.58,11839,1185
Dan Gemeinhart,The Remarkable Journey of Coyote Sunrise,travel,344 pages,"Kindle Store
$9.99
",January 8th 2019,4.49,7300,1639
Julia Whelan,My Oxford Year,travel,352 pages,Amazon,April 24th 2018,3.89,17771,2417
Katherine Center,Happiness for Beginners,travel,320 pages,"Kindle Store
$10.99
",March 24th 2015,4.06,8640,1417
Judy Leigh,A Grand Old Time,travel,368 pages,"Kindle Store
$1.99
",May 3rd 2018,4.06,1676,171
Emma Donoghue,Akin,travel,352 pages,Amazon,September 10th 2019,3.67,6845,1077
Jojo Moyes,Paris for One and Other Stories,travel,274 pages,Amazon,October 18th 2016,3.56,26942,2968
Elif Batuman,The Idiot,travel,423 pages,Amazon,March 14th 2017,3.63,23275,3263
Balli Kaur Jaswal,The Unlikely Adventures of the Shergill Sisters,travel,312 pages,"Kindle Store
$1.99
",April 30th 2019,3.78,6603,945
Jessica Francis Kane,Rules for Visiting,travel,290 pages,"Kindle Store
$11.99
",May 14th 2019,3.76,4017,736
Christine Riccio,"Again, but Better",travel,373 pages,"Kindle Store
$9.99
",May 7th 2019,3.67,17486,4485
Rebecca Raisin,Rosie’s Travelling Tea Shop,travel,384 pages,Amazon,May 16th 2019,3.91,3121,383
Valeria Luiselli,Lost Children Archive,travel,385 pages,Amazon,February 12th 2019,3.86,9243,1756
Chetan Bhagat,One Indian Girl,travel,272 pages,"Kindle Unlimited
",October 1st 2016,3.27,26133,1602
Rebekah Crane,The Upside of Falling Down,travel,247 pages,"Kindle Unlimited
",January 30th 2018,3.83,9941,944
Catherine Ryan Hyde,Leaving Blythe River,travel,322 pages,Amazon,May 24th 2016,4.14,9436,561
Meik Wiking,The Little Book of Hygge: The Danish Way to Live Well,travel,289 pages,"Kindle Store
$10.99
",September 1st 2016,3.74,58852,5589
Chanel Cleeton,Next Year in Havana,travel,361 pages,"Kindle Store
$9.99
",February 6th 2018,3.94,58437,6493
Catherine Ryan Hyde,Allie and Bea,travel,352 pages,"Kindle Unlimited
",May 23rd 2017,4.25,18266,1413
Amanda Eyre Ward,The Jetsetters,travel,352 pages,"Kindle Store
$12.99
",March 3rd 2020,3.22,9420,949
"Penelope Ward,Vi Keeland",My Favorite Souvenir,travel,300 pages,Amazon,April 27th 2020,4.35,3133,612
Victor Methos,An Invisible Client,thriller,254 pages,Amazon,January 26th 2016,4.39,8610,500
Holly  Jackson,"Good Girl, Bad Blood",thriller,432 pages,Amazon UK,April 30th 2020,4.58,585,129
Melissa Payne,The Secrets of Lost Stones,thriller,336 pages,"Kindle Unlimited
",September 1st 2019,4.25,9238,1009
Karin Slaughter,Pretty Girls,thriller,688 pages,"Kindle Store
$9.99
",September 29th 2015,3.99,159074,15153
Jason Pinter,Hide Away,thriller,365 pages,"Kindle Unlimited
",March 1st 2020,4.15,5309,427
Maureen Johnson,The Vanishing Stair,thriller,369 pages,Amazon,January 22nd 2019,4.26,22684,4001
Jeffery Deaver,The Debriefing,thriller,59 pages,Amazon,January 14th 2020,3.70,2736,118
Ruth Ware,"In a Dark, Dark Wood",thriller,308 pages,Amazon,April 19th 2016,3.69,200773,17611
Adrian McKinty,The Chain,thriller,357 pages,Amazon UK,July 9th 2019,3.81,31933,5306
"Stephen King,Mark Edward Geyer",Elevation,thriller,146 pages,Amazon UK,October 30th 2018,3.68,71401,9393
Melinda Leigh,Whisper of Bones,thriller,97 pages,"Kindle Unlimited
",October 22nd 2019,4.11,4317,233
Eliza Maxwell,The Caretakers,thriller,318 pages,Amazon UK,April 14th 2020,4.28,585,163
Melinda Leigh,Say You're Sorry,thriller,329 pages,Amazon,May 16th 2017,4.03,78094,2806
C.J. Box,Long Range,thriller,356 pages,"Kindle Store
$14.99
",March 3rd 2020,4.53,4809,416
"James Patterson,Andrew Bourelle",Texas Outlaw,thriller,448 pages,"Kindle Store
$14.99
",March 23rd 2020,4.47,1446,102
Graham Moore,The Holdout,thriller,325 pages,"Kindle Store
$2.99
",February 18th 2020,3.91,9749,1658
Shari Lapena,Someone We Know,thriller,292 pages,"Kindle Store
$3.99
",July 30th 2019,3.93,29664,3310
"Greer Hendricks,Sarah Pekkanen",An Anonymous Girl,thriller,375 pages,"Kindle Store
$9.99
",January 8th 2019,3.82,87759,11396
Samantha  Downing,My Lovely Wife,thriller,374 pages,Amazon,March 26th 2019,3.90,52009,7477
Paula Hawkins,Into the Water,thriller,386 pages,"Kindle Store
$4.99
",May 2nd 2017,3.57,253590,22451
Kendra Elliot,Close to the Bone,thriller,94 pages,"Kindle Unlimited
",October 23rd 2018,3.97,12665,557
Denise Mina,Conviction,thriller,376 pages,Amazon,June 18th 2019,3.60,20392,2368
Erin Kinsley,Found,thriller,384 pages,Amazon,July 23rd 2019,4.23,10218,373
Jane Harper,The Dry,thriller,352 pages,Kobo,May 31st 2016,4.03,138082,13038
"David Baldacci,Brittany Pressley,Kyf Brewer",A Minute to Midnight,thriller,,"Kindle Store
$14.99
",November 19th 2019,4.23,16509,1381
Stephen King,The Outsider,thriller,561 pages,Amazon,May 22nd 2018,3.99,159418,16120
Jennifer Hillier,Little Secrets,thriller,352 pages,"Kindle Store
$13.99
",April 21st 2020,4.30,3521,1546
Catherine Steadman,Something in the Water,thriller,342 pages,"Kindle Store
$12.99
",June 5th 2018,3.60,94534,9652
Robert Dugoni,A Cold Trail,thriller,355 pages,"Kindle Unlimited
",February 4th 2020,4.29,8862,688
Stephanie Wrobel,Darling Rose Gold,thriller,320 pages,"Kindle Store
$13.99
",March 17th 2020,3.77,6798,1857
Dan Brown,Origin,thriller,461 pages,Amazon CA,October 3rd 2017,3.86,236088,23011
Riley Sager,Lock Every Door,thriller,381 pages,Amazon,July 2nd 2019,3.93,51443,8204
Janelle Brown,Pretty Things,thriller,496 pages,Amazon,April 21st 2020,4.05,1829,552
Ruth Ware,The Woman in Cabin 10,thriller,341 pages,Amazon,July 19th 2016,3.69,332807,27330
Rachel Caine,Stillhouse Lake,thriller,301 pages,"Kindle Unlimited
",July 1st 2017,4.12,103498,7676
Dean Koontz,The Mercy of Snakes,thriller,61 pages,Amazon,November 12th 2019,4.09,8484,331
B.A. Paris,Behind Closed Doors,thriller,293 pages,"Kindle Store
$9.99
",August 9th 2016,3.95,269322,24641
Gregg Olsen,Lying Next to Me,thriller,,"Kindle Unlimited
",May 21st 2019,4.06,26178,1553
Kimberly McCreight,A Good Marriage,thriller,400 pages,"Kindle Store
$12.99
",May 5th 2020,4.14,859,259
Simone St. James,The Sun Down Motel,thriller,327 pages,"Kindle Store
$13.99
",February 18th 2020,4.11,21114,3947
"Greer Hendricks,Sarah Pekkanen",You Are Not Alone,thriller,343 pages,Amazon CA,March 3rd 2020,3.79,18187,3647
Alex North,The Whisper Man,thriller,355 pages,"Kindle Store
$13.99
",August 20th 2019,4.07,47570,6998
